Year,Team_1,Team_1_Seed,Team_2,Team_2_Seed,Winner
2024,UConn,1,Stetson,16,UConn
2024,Florida Atlantic,8,Northwestern,9,Northwestern
2024,San Diego St,5,UAB,12,San Diego St
2024,Auburn,4,Yale,13,Yale
2024,BYU,6,Duquesne,11,Duquesne
2024,Illinois,3,Morehead St,14,Illinois
2024,Washington St,7,Drake,10,Washington St
2024,Iowa St,2,S Dakota St,15,Iowa St
2024,North Carolina,1,Wagner,16,North Carolina
2024,Mississippi St,8,Michigan St,9,Michigan St
2024,Saint Mary's,5,Grand Canyon,12,Grand Canyon
2024,Alabama,4,Charleston,13,Alabama
2024,Clemson,6,New Mexico,11,Clemson
2024,Baylor,3,Colgate,14,Baylor
2024,Dayton,7,Nevada,10,Dayton
2024,Arizona,2,Long Beach St,15,Arizona
2024,UConn,1,Northwestern,9,UConn
2024,San Diego St,5,Yale,13,San Diego St
2024,Duquesne,11,Illinois,3,Illinois
2024,Washington St,7,Iowa St,2,Iowa St
2024,North Carolina,1,Michigan St,9,North Carolina
2024,Grand Canyon,12,Alabama,4,Alabama
2024,Clemson,6,Baylor,3,Clemson
2024,Dayton,7,Arizona,2,Arizona
2024,UConn,1,San Diego St,5,UConn
2024,Illinois,3,Iowa St,2,Illinois
2024,North Carolina,1,Alabama,4,Alabama
2024,Clemson,6,Arizona,2,Clemson
2024,UConn,1,Illinois,3,UConn
2024,Alabama,4,Clemson,6,Alabama
2024,UConn,1,Alabama,4,UConn
2024,UConn,1,Purdue,1,UConn
2024,Houston,1,Longwood,16,Houston
2024,Nebraska,8,Texas A&M,9,Texas A&M
2024,Wisconsin,5,J Madison,12,J Madison
2024,Duke,4,Vermont,13,Duke
2024,Texas Tech,6,NC State,11,NC State
2024,Kentucky,3,Oakland,14,Oakland
2024,Florida,7,Colorado,10,Colorado
2024,Marquette,2,W Kentucky,15,Marquette
2024,Purdue,1,Grambling,16,Purdue
2024,Utah St,8,TCU,9,Utah St
2024,Gonzaga,5,McNeese,12,Gonzaga
2024,Kansas,4,Samford,13,Kansas
2024,South Carolina,6,Oregon,11,Oregon
2024,Creighton,3,Akron,14,Creighton
2024,Texas,7,Colorado St,10,Texas
2024,Tennessee,2,Saint Peter's,15,Tennessee
2024,Houston,1,Texas A&M,9,Houston
2024,J Madison,12,Duke,4,Duke
2024,NC State,11,Oakland,14,NC State
2024,Colorado,10,Marquette,2,Marquette
2024,Purdue,1,Utah St,8,Purdue
2024,Gonzaga,5,Kansas,4,Gonzaga
2024,Oregon,11,Creighton,3,Creighton
2024,Texas,7,Tennessee,2,Tennessee
2024,Houston,1,Duke,4,Duke
2024,NC State,11,Marquette,2,NC State
2024,Purdue,1,Gonzaga,5,Purdue
2024,Creighton,3,Tennessee,2,Tennessee
2024,Duke,4,NC State,11,NC State
2024,Purdue,1,Tennessee,2,Purdue
2024,NC State,11,Purdue,1,Purdue
2023,Alabama,1,Texas A&M-CC,16,Alabama
2023,Maryland,8,West Virginia,9,Maryland
2023,San Diego St,5,Charleston,12,San Diego St
2023,Virginia,4,Furman,13,Furman
2023,Creighton,6,NC State,11,Creighton
2023,Baylor,3,UCSB,14,Baylor
2023,Missouri,7,Utah St,10,Missouri
2023,Arizona,2,Princeton,15,Princeton
2023,Purdue,1,F Dickinson,16,F Dickinson
2023,Memphis,8,Florida Atlantic,9,Florida Atlantic
2023,Duke,5,Oral Roberts,12,Duke
2023,Tennessee,4,Louisiana,13,Tennessee
2023,Kentucky,6,Providence,11,Kentucky
2023,Kansas St,3,Montana St,14,Kansas St
2023,Michigan St,7,USC,10,Michigan St
2023,Marquette,2,Vermont,15,Marquette
2023,Alabama,1,Maryland,8,Alabama
2023,San Diego St,5,Furman,13,San Diego St
2023,Creighton,6,Baylor,3,Creighton
2023,Missouri,7,Princeton,15,Princeton
2023,F Dickinson,16,Florida Atlantic,9,Florida Atlantic
2023,Duke,5,Tennessee,4,Tennessee
2023,Kentucky,6,Kansas St,3,Kansas St
2023,Michigan St,7,Marquette,2,Michigan St
2023,Alabama,1,San Diego St,5,San Diego St
2023,Creighton,6,Princeton,15,Creighton
2023,Florida Atlantic,9,Tennessee,4,Florida Atlantic
2023,Kansas St,3,Michigan St,7,Kansas St
2023,San Diego St,5,Creighton,6,San Diego St
2023,Florida Atlantic,9,Kansas St,3,Florida Atlantic
2023,San Diego St,5,Florida Atlantic,9,San Diego St
2023,San Diego St,5,UConn,4,UConn
2023,Houston,1,N Kentucky,16,Houston
2023,Iowa,8,Auburn,9,Auburn
2023,Miami,5,Drake,12,Miami
2023,Indiana,4,Kent St,13,Indiana
2023,Iowa St,6,Pittsburgh,11,Pittsburgh
2023,Xavier,3,Kennesaw St,14,Xavier
2023,Texas A&M,7,Penn St,10,Penn St
2023,Texas,2,Colgate,15,Texas
2023,Kansas,1,Howard,16,Kansas
2023,Arkansas,8,Illinois,9,Arkansas
2023,Saint Mary's,5,VCU,12,Saint Mary's
2023,UConn,4,Iona,13,UConn
2023,TCU,6,Arizona St,11,TCU
2023,Gonzaga,3,Grand Canyon,14,Gonzaga
2023,Northwestern,7,Boise St,10,Northwestern
2023,UCLA,2,NC Asheville,15,UCLA
2023,Houston,1,Auburn,9,Houston
2023,Miami,5,Indiana,4,Miami
2023,Pittsburgh,11,Xavier,3,Xavier
2023,Penn St,10,Texas,2,Texas
2023,Kansas,1,Arkansas,8,Arkansas
2023,Saint Mary's,5,UConn,4,UConn
2023,TCU,6,Gonzaga,3,Gonzaga
2023,Northwestern,7,UCLA,2,UCLA
2023,Houston,1,Miami,5,Miami
2023,Xavier,3,Texas,2,Texas
2023,Arkansas,8,UConn,4,UConn
2023,Gonzaga,3,UCLA,2,Gonzaga
2023,Miami,5,Texas,2,Miami
2023,UConn,4,Gonzaga,3,UConn
2023,Miami,5,UConn,4,UConn
2022,Gonzaga,1,Georgia St,16,Gonzaga
2022,Boise St,8,Memphis,9,Memphis
2022,UConn,5,New Mexico St,12,New Mexico St
2022,Arkansas,4,Vermont,13,Arkansas
2022,Alabama,6,Notre Dame,11,Notre Dame
2022,Texas Tech,3,Montana St,14,Texas Tech
2022,Michigan St,7,Davidson,10,Michigan St
2022,Duke,2,CS Fullerton,15,Duke
2022,Baylor,1,Norfolk St,16,Baylor
2022,North Carolina,8,Marquette,9,North Carolina
2022,Saint Mary's,5,Indiana,12,Saint Mary's
2022,UCLA,4,Akron,13,UCLA
2022,Texas,6,Virginia Tech,11,Texas
2022,Purdue,3,Yale,14,Purdue
2022,Murray St,7,San Francisco,10,Murray St
2022,Kentucky,2,Saint Peter's,15,Saint Peter's
2022,Gonzaga,1,Memphis,9,Gonzaga
2022,New Mexico St,12,Arkansas,4,Arkansas
2022,Notre Dame,11,Texas Tech,3,Texas Tech
2022,Michigan St,7,Duke,2,Duke
2022,Baylor,1,North Carolina,8,North Carolina
2022,Saint Mary's,5,UCLA,4,UCLA
2022,Texas,6,Purdue,3,Purdue
2022,Murray St,7,Saint Peter's,15,Saint Peter's
2022,Gonzaga,1,Arkansas,4,Arkansas
2022,Texas Tech,3,Duke,2,Duke
2022,North Carolina,8,UCLA,4,North Carolina
2022,Purdue,3,Saint Peter's,15,Saint Peter's
2022,Arkansas,4,Duke,2,Duke
2022,North Carolina,8,Saint Peter's,15,North Carolina
2022,Duke,2,North Carolina,8,North Carolina
2022,North Carolina,8,Kansas,1,Kansas
2022,Arizona,1,Wright St,16,Arizona
2022,Seton Hall,8,TCU,9,TCU
2022,Houston,5,UAB,12,Houston
2022,Illinois,4,Chattanooga,13,Illinois
2022,Colorado St,6,Michigan,11,Michigan
2022,Tennessee,3,Longwood,14,Tennessee
2022,Ohio St,7,Loyola Chi,10,Ohio St
2022,Villanova,2,Delaware,15,Villanova
2022,Kansas,1,Texas So,16,Kansas
2022,San Diego St,8,Creighton,9,Creighton
2022,Iowa,5,Richmond,12,Richmond
2022,Providence,4,S Dakota St,13,Providence
2022,LSU,6,Iowa St,11,Iowa St
2022,Wisconsin,3,Colgate,14,Wisconsin
2022,USC,7,Miami,10,Miami
2022,Auburn,2,Jacksonville St,15,Auburn
2022,Arizona,1,TCU,9,Arizona
2022,Houston,5,Illinois,4,Houston
2022,Michigan,11,Tennessee,3,Michigan
2022,Ohio St,7,Villanova,2,Villanova
2022,Kansas,1,Creighton,9,Kansas
2022,Richmond,12,Providence,4,Providence
2022,Iowa St,11,Wisconsin,3,Iowa St
2022,Miami,10,Auburn,2,Miami
2022,Arizona,1,Houston,5,Houston
2022,Michigan,11,Villanova,2,Villanova
2022,Kansas,1,Providence,4,Kansas
2022,Iowa St,11,Miami,10,Miami
2022,Houston,5,Villanova,2,Villanova
2022,Kansas,1,Miami,10,Kansas
2022,Villanova,2,Kansas,1,Kansas
